Timestamp,Soll_X,Soll_Y,Soll_Z,Ist_X,Ist_Y,Ist_Z,Extruder_Pos,Soll_Velocity_TCP,Ist_Velocity_TCP,Ist_Velocity_Extruder,Error_TCP,Error_TCP_Speed,Ratio_Score
56.349240,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.349980,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.361659,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.362182,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.362654,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.363182,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.363670,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.364063,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.390672,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.391558,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.392158,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.392868,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.393266,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.393795,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.421788,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.422604,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.423489,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.424196,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.424894,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.425513,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.437090,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.437776,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.438583,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.439381,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.440181,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.440693,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.467940,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.468483,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.469383,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.470373,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.471003,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.471709,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.498819,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.499302,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.499899,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.500509,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.501010,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.501464,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.505830,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.506362,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.506832,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.507580,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.508003,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.508453,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.531324,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.532128,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.532785,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.533442,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.533975,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.534580,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.563079,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.563525,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.564118,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.564648,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.565014,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.565416,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.579012,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.579567,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.580198,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
56.580735,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
